Athlete_ID,athleteGuid,firstName,middleName,lastName,gender,gradeLevel,Sport_ID,sportName,SchoolId,SchoolName,TeamLevel,TeamLevelText,YearsPlayingSport,Height,Weight,isMultiSport,secondSport_ID,sportsPlayed
108000000,8942B636-CE40-4118-90F4-5EF2C4211DBE,Silas,,Nguyen,M,12,7,Basketball,2740,Lakeside High School,1,Varsity,6,70,186,0,,Basketball
108000001,00B98AB2-F035-4770-9267-081C7AAD57F6,Ana,J.,Flores,F,10,7,Basketball,2737,North Star High School,2,Junior Varsity,3,70,153,0,,Basketball
108000002,542B72A0-5AC8-46F5-A568-A1CCC5C465DF,Emerson,,Chavez,F,12,25,Soccer,2739,Prairie View High School,2,Junior Varsity,6,63,153,0,,Soccer
108000003,BBA3C435-D597-41D7-AD20-8DCBCEED76BF,Dakota,A.,Patel,M,11,3,Football,2740,Lakeside High School,1,Varsity,5,76,184,1,14.0,Football; Track & Field
108000004,AA171415-86E5-44D0-86A1-A58E4ACB98A1,Riley,,Hill,F,9,7,Basketball,2738,Cedar Creek High School,2,Junior Varsity,5,65,153,1,14.0,Basketball; Track & Field
108000005,A0096116-A279-4FF9-8F99-163D33E5D8A5,Sofia,,James,F,10,9,Softball,2740,Lakeside High School,3,Freshman,6,65,143,0,,Softball
108000006,A11E989E-A54C-42D2-B4A9-D2832C570A43,Aisha,A.,Flores,F,12,3,Football,2737,North Star High School,2,Junior Varsity,6,62,142,1,28.0,Football; Cheer
108000007,C79CCD04-B680-427E-8184-07EEFE3AC498,Jaxon,M.,Martinez,M,9,25,Soccer,2739,Prairie View High School,2,Junior Varsity,4,63,144,0,,Soccer
108000008,98D979F9-370B-43BA-9420-CBE7E0F6BC91,Sage,A.,Parker,F,10,12,Volleyball,2739,Prairie View High School,1,Varsity,3,67,116,1,9.0,Volleyball; Softball
108000009,3D38B432-740D-44B0-BF3B-B649AD0A7D1C,Ana,,Hill,F,10,3,Football,2737,North Star High School,2,Junior Varsity,4,65,151,0,,Football
108000010,741C3CB7-FC23-47CD-A05A-58E751B3945C,Dylan,,Anderson,M,11,3,Football,2740,Lakeside High School,2,Junior Varsity,6,69,194,1,25.0,Football; Soccer
108000011,044A759E-9831-44E7-A315-AC92F2F90F8F,Luis,,Edwards,M,11,7,Basketball,2740,Lakeside High School,1,Varsity,4,68,146,0,,Basketball
108000012,1DB2FFBC-84E5-4DBF-BB48-56233ABD2476,Camila,M.,Brown,F,7,21,Cross Country,2742,Bluebonnet Middle School,4,7th/8th Grade,3,65,92,0,,Cross Country
108000013,84BAFF1B-9655-456E-88B0-B4CC316BA79C,Colt,,Stewart,M,12,3,Football,2738,Cedar Creek High School,2,Junior Varsity,7,66,209,1,14.0,Football; Track & Field
108000014,720D1D3C-62F4-4342-9E2C-55B0F119B84D,Dakota,M.,Sanders,M,12,18,Wrestling,2737,North Star High School,1,Varsity,6,69,201,0,,Wrestling
108000015,F337C1A8-4C05-4C78-85C5-CE5213E7143B,Kya,L.,Gray,F,9,3,Football,2737,North Star High School,1,Varsity,2,65,162,0,,Football
108000016,1F6DA502-0C2C-4B9B-B90C-5B7E20E68A8D,Aisha,,Brown,F,11,21,Cross Country,2737,North Star High School,2,Junior Varsity,4,64,93,0,,Cross Country
108000017,5CA906A6-71D4-40B0-AEF6-D56E6FF6F211,Dante,J.,Roberts,M,10,25,Soccer,2740,Lakeside High School,3,Freshman,5,66,112,0,,Soccer
108000018,9449DED3-77E0-4576-A135-031B99BCF77B,Peyton,J.,Thomas,F,12,12,Volleyball,2738,Cedar Creek High School,3,Freshman,4,68,129,1,9.0,Volleyball; Softball
108000019,919A80BB-2D13-4CEB-BDFC-52A3F56981D7,Luis,M.,Peterson,M,11,3,Football,2740,Lakeside High School,2,Junior Varsity,4,73,181,0,,Football
108000020,8A0F99E3-7845-41F5-A553-DEC7A5D9D47B,Mabel,L.,Walker,F,10,7,Basketball,2737,North Star High School,3,Freshman,5,65,162,0,,Basketball
108000021,6730DD91-3A99-481F-90F8-5B21CA036316,Harper,L.,Torres,F,10,3,Football,2739,Prairie View High School,1,Varsity,7,61,143,1,32.0,Football; Swimming
108000022,1B443643-340E-4066-BBB8-A5CB47E23DB2,Dante,M.,McCoy,M,7,21,Cross Country,2741,Red Oak Middle School,4,7th/8th Grade,3,66,115,0,,Cross Country
108000023,AA919AD3-1D07-4983-BB7D-510EA0726E6D,Quinn,,Brooks,F,10,9,Softball,2737,North Star High School,3,Freshman,7,61,170,0,,Softball
108000024,1F9938CA-E5AF-4CB9-9E6B-E35CCC60B7DE,Cole,,Bailey,M,11,3,Football,2737,North Star High School,1,Varsity,5,68,210,0,,Football
108000025,EE22CBCE-DDCF-48FD-ABCA-189CE72A7723,Brooklyn,M.,Vargas,F,9,25,Soccer,2739,Prairie View High School,1,Varsity,2,57,120,1,3.0,Soccer; Football
108000026,25FB751E-9A29-4CCF-A483-D133BAE53C4B,Estrella,J.,Turner,F,9,25,Soccer,2739,Prairie View High School,2,Junior Varsity,3,63,112,0,,Soccer
108000027,F24A5E44-554D-41B6-A2E4-B37D6FB0F637,Avery,J.,Patel,F,11,9,Softball,2739,Prairie View High School,1,Varsity,6,63,140,0,,Softball
108000028,1A7B4834-B8A7-42D4-BBB4-E2373E681D22,Nina,A.,Campbell,F,9,25,Soccer,2739,Prairie View High School,3,Freshman,3,68,106,0,,Soccer
108000029,952D7C6A-23A8-4077-B489-864E80C546E5,Quinn,J.,Bennett,F,10,14,Track & Field,2739,Prairie View High School,3,Freshman,3,59,122,1,25.0,Track & Field; Soccer
108000030,A265EC05-A4D3-45B9-B57D-2B7932093DF8,Judah,L.,Hill,M,7,5,Baseball,2741,Red Oak Middle School,4,7th/8th Grade,1,70,155,1,30.0,Baseball; Tennis
108000031,504C8898-84E4-493A-B38D-98F2AFF98E1D,Knox,R.,Morales,M,11,3,Football,2738,Cedar Creek High School,3,Freshman,5,78,165,1,32.0,Football; Swimming
108000032,3479751F-E6D8-46D1-A9F2-AE09A55E39DA,Knox,R.,Chen,M,11,14,Track & Field,2737,North Star High School,3,Freshman,3,68,156,1,7.0,Track & Field; Basketball
108000033,515BF278-CC8C-453F-B845-F8EF0C515514,Omar,,Baker,M,10,25,Soccer,2737,North Star High School,1,Varsity,5,71,158,0,,Soccer
108000034,5E6C75EF-564A-49C9-997B-2BF71D275AF3,Journee,M.,Mendoza,F,10,21,Cross Country,2739,Prairie View High School,1,Varsity,7,71,139,0,,Cross Country
108000035,CB32D5E6-2292-4102-B68B-20E27915D5FC,Kai,A.,Collins,M,12,25,Soccer,2738,Cedar Creek High School,2,Junior Varsity,7,73,168,0,,Soccer
108000036,9C6C33A4-1BC5-472A-8D5C-3FAAF1F5B32E,Tyler,,Ward,M,10,18,Wrestling,2737,North Star High School,3,Freshman,4,68,161,0,,Wrestling
108000037,983CBC5A-0EAF-4C8A-AA99-82887ADC72E6,Nora,,Garcia,F,12,7,Basketball,2737,North Star High School,3,Freshman,7,68,156,0,,Basketball
108000038,DD601D07-0A27-498D-AC24-133E8394D1EF,Diego,,Sanders,M,10,7,Basketball,2737,North Star High School,1,Varsity,4,74,167,0,,Basketball
108000039,CE8B3340-EC08-412F-9AB3-3F775B8B56C5,Ethan,A.,Hughes,M,12,7,Basketball,2740,Lakeside High School,3,Freshman,9,76,193,0,,Basketball
108000040,10584FC3-0F15-470A-8BD1-DAFF39E3B9F3,Cameron,A.,Stewart,M,9,14,Track & Field,2739,Prairie View High School,2,Junior Varsity,5,70,127,0,,Track & Field
108000041,A5F02EE4-29A0-4E79-825C-C25F0AEADA59,Angel,R.,Watson,M,8,25,Soccer,2741,Red Oak Middle School,4,7th/8th Grade,1,72,161,0,,Soccer
108000042,B3BD7C6F-F3C4-4206-874D-FF3E5C9EA181,Zara,,Moore,F,9,28,Cheer,2737,North Star High School,2,Junior Varsity,2,63,100,0,,Cheer
108000043,A67FC1A5-DD75-46DE-A898-DEA607CFC7FE,Emmett,M.,McCoy,M,11,5,Baseball,2738,Cedar Creek High School,1,Varsity,2,73,187,1,14.0,Baseball; Track & Field
108000044,DAD85FE9-D1D4-4D95-879C-A9752FC8D817,Lily,,Roberts,F,12,14,Track & Field,2739,Prairie View High School,2,Junior Varsity,4,64,143,0,,Track & Field
108000045,C0FB0BC3-C1F0-4762-B07B-0DB6BDF9B7A5,Kai,,Peterson,M,9,5,Baseball,2737,North Star High School,2,Junior Varsity,4,72,170,0,,Baseball
108000046,CE7EC9DA-1EB0-49CF-9691-6909166E1721,Taylor,M.,Cox,F,12,7,Basketball,2738,Cedar Creek High School,1,Varsity,6,71,133,0,,Basketball
108000047,D61F0846-F58B-4DB9-A96C-A75878B613C9,Noah,,Sanders,M,9,12,Volleyball,2740,Lakeside High School,2,Junior Varsity,5,69,189,0,,Volleyball
108000048,86D96909-36C8-4D0F-AB25-A2563791A9F2,Caleb,J.,Lewis,M,8,25,Soccer,2742,Bluebonnet Middle School,4,7th/8th Grade,2,62,178,0,,Soccer
108000049,2ACE6C47-B79C-49DF-B7A6-8888C4B4F7B8,Harper,,Chavez,F,12,7,Basketball,2737,North Star High School,2,Junior Varsity,7,67,161,0,,Basketball
108000050,874A309E-AB82-4979-9F66-1AA29DB4D66D,Trey,,Hughes,M,12,25,Soccer,2740,Lakeside High School,1,Varsity,7,71,177,0,,Soccer
108000051,579DE0FB-4B56-46CB-9C67-A6332B81147E,Nina,R.,Williams,F,9,21,Cross Country,2737,North Star High School,1,Varsity,3,63,117,0,,Cross Country
108000052,B3ECE3D3-2DF8-4286-A706-4EC12EADBA46,Diego,L.,Phillips,M,12,25,Soccer,2739,Prairie View High School,2,Junior Varsity,5,66,116,1,3.0,Soccer; Football
108000053,0C8D7695-C7CE-4D51-BD83-5FB52FF5B602,Maya,,Adams,F,12,21,Cross Country,2740,Lakeside High School,2,Junior Varsity,7,65,137,0,,Cross Country
108000054,DF884814-37C8-4BCE-9DB6-F8B5D3264DD0,Paisley,,Wilson,F,7,3,Football,2741,Red Oak Middle School,4,7th/8th Grade,4,61,142,0,,Football
108000055,B5B8C65A-7F42-4A03-AB97-76491850CDFF,Weston,,Brooks,M,9,25,Soccer,2739,Prairie View High School,1,Varsity,3,63,169,0,,Soccer
108000056,91691FA6-CAF8-4D25-A4FA-EB383FBEFAA0,Emerson,,Haddad,F,10,30,Tennis,2737,North Star High School,2,Junior Varsity,6,65,130,0,,Tennis
108000057,FE7D0668-DF6D-492E-BBBE-1F173D654A6D,Hunter,,Rivera,M,11,5,Baseball,2738,Cedar Creek High School,2,Junior Varsity,5,73,182,0,,Baseball
108000058,022C6949-240A-4B1B-8D3C-73F86BAFEEEE,Trey,A.,Hill,M,9,7,Basketball,2738,Cedar Creek High School,1,Varsity,3,69,178,1,3.0,Basketball; Football
108000059,305F4BA2-9E9A-403C-AB35-3667B74FABE7,Dominic,J.,Phillips,M,11,7,Basketball,2738,Cedar Creek High School,1,Varsity,8,71,172,1,32.0,Basketball; Swimming
108000060,FE459BB6-D3EB-444C-85F3-DE4064B8D36C,Kenzie,L.,Morgan,F,11,12,Volleyball,2737,North Star High School,2,Junior Varsity,7,70,138,0,,Volleyball
108000061,7D6A2053-D138-4A41-AE16-3F1A42CBEF01,Trey,R.,Jackson,M,11,5,Baseball,2738,Cedar Creek High School,2,Junior Varsity,6,74,176,0,,Baseball
108000062,5C4C21FB-0307-4737-8B91-06055277A779,Maya,J.,Davis,F,10,12,Volleyball,2739,Prairie View High School,3,Freshman,6,69,152,0,,Volleyball
108000063,C6F34F17-8ED2-4F97-ABBD-5D6ECBFB7220,Dylan,,Ruiz,M,11,3,Football,2737,North Star High School,1,Varsity,3,65,185,0,,Football
108000064,74D3DA63-E7AD-4C23-A454-F3C510717F1E,Isaiah,J.,Ruiz,M,8,7,Basketball,2741,Red Oak Middle School,4,7th/8th Grade,2,66,99,1,12.0,Basketball; Volleyball
108000065,DD9CFCE0-4212-4868-B9F3-ADFF0821887D,Tyler,,Lopez,M,7,14,Track & Field,2742,Bluebonnet Middle School,4,7th/8th Grade,2,62,136,0,,Track & Field
108000066,AC8A0170-0AFA-4966-8146-090420FCA14A,Mabel,,Green,F,11,3,Football,2737,North Star High School,1,Varsity,4,68,173,0,,Football
108000067,EED5083C-4986-4EB6-8F40-56D87F39584C,Quinn,,Diaz,F,9,32,Swimming,2740,Lakeside High School,1,Varsity,4,69,128,0,,Swimming
108000068,0AA3705F-FE18-46B0-A234-D2AE41B57F10,Cameron,J.,Mitchell,M,9,25,Soccer,2739,Prairie View High School,1,Varsity,3,64,163,0,,Soccer
108000069,0DEDB2BC-AB16-4B9D-81F7-133A59511DEF,Dante,R.,Hill,M,12,7,Basketball,2739,Prairie View High School,3,Freshman,6,72,177,1,25.0,Basketball; Soccer
108000070,3371CECD-1A4E-4162-A2AB-77F9D0F3B8F2,Amara,,Gray,F,12,3,Football,2737,North Star High School,1,Varsity,10,67,153,0,,Football
108000071,1A694C8F-ADAD-473E-92E1-7C1337BCA280,Paisley,R.,Baker,F,10,21,Cross Country,2739,Prairie View High School,3,Freshman,5,61,108,0,,Cross Country
108000072,3FD8E30D-F7B2-4202-8907-6DD1E8316FA2,Hunter,A.,Wright,M,10,25,Soccer,2739,Prairie View High School,1,Varsity,5,67,166,0,,Soccer
108000073,7F4EE600-7495-4524-BFAA-4DB718244595,Marcus,,Haddad,M,11,25,Soccer,2739,Prairie View High School,2,Junior Varsity,7,65,186,1,7.0,Soccer; Basketball
108000074,56C26A32-8825-4BF7-BE5F-724D11FF1CB7,Reagan,L.,Gutierrez,F,11,21,Cross Country,2740,Lakeside High School,2,Junior Varsity,8,61,124,0,,Cross Country
